word=父亲	nums=379	adhes=408	entropy=1.9501
word=高粱	nums=268	adhes=519	entropy=1.5255
word=罗汉	nums=168	adhes=989	entropy=0.1118
word=司令	nums=159	adhes=1011	entropy=0.2966
word=鬼子	nums=92	adhes=256	entropy=1.4529
word=日本	nums=74	adhes=1507	entropy=0.7744
word=汽车	nums=61	adhes=1836	entropy=1.256
word=哑巴	nums=51	adhes=2121	entropy=1.5216
word=任副官	nums=49	adhes=1947	entropy=1.5329
word=王文义	nums=45	adhes=3258	entropy=1.4508
word=什么	nums=44	adhes=2240	entropy=1.3765
word=轿夫	nums=40	adhes=1314	entropy=0.8326
word=河堤	nums=39	adhes=775	entropy=0.8328
word=伪军	nums=39	adhes=3318	entropy=0.7087
word=冷支队	nums=37	adhes=1706	entropy=0.4057
word=公路	nums=37	adhes=946	entropy=1.0062
word=曾祖	nums=35	adhes=3706	entropy=0.1887
word=自己	nums=34	adhes=3318	entropy=1.2258
word=队伍	nums=32	adhes=1706	entropy=1.0836
word=占鳌	nums=30	adhes=5594	entropy=0.2031
word=眼睛	nums=29	adhes=1332	entropy=0.6996
word=听到	nums=29	adhes=265	entropy=1.2391
word=不知	nums=29	adhes=334	entropy=1.0625
word=孙五	nums=28	adhes=2697	entropy=1.3611
word=勃朗宁	nums=27	adhes=5780	entropy=0.403
word=黑骡	nums=27	adhes=442	entropy=0.6104
word=墨水河	nums=26	adhes=1253	entropy=1.1021
word=骡马	nums=26	adhes=559	entropy=1.1515
word=喇叭	nums=26	adhes=6400	entropy=0.7517
word=感到	nums=26	adhes=333	entropy=1.0629
word=身体	nums=25	adhes=749	entropy=0.7561
word=它们	nums=25	adhes=450	entropy=1.2297
word=队员	nums=25	adhes=1706	entropy=0.8227
word=屁股	nums=25	adhes=2676	entropy=0.9072
word=拤饼	nums=24	adhes=5932	entropy=0.8488
word=烧酒	nums=23	adhes=1141	entropy=0.7862
word=没有	nums=23	adhes=406	entropy=1.2471
word=余大牙	nums=23	adhes=894	entropy=1.2471
word=知道	nums=22	adhes=922	entropy=0.887
word=耳朵	nums=21	adhes=3255	entropy=1.059
word=已经	nums=21	adhes=2297	entropy=1.1107
word=东北	nums=20	adhes=1456	entropy=0.2551
word=黑土	nums=20	adhes=602	entropy=0.9773
word=沉重	nums=20	adhes=2262	entropy=0.6535
word=栅栏	nums=20	adhes=8533	entropy=1.0602
word=两只	nums=19	adhes=221	entropy=0.8475
word=毛驴	nums=19	adhes=3783	entropy=1.1203
word=劫路	nums=19	adhes=1060	entropy=0.1778
word=面前	nums=19	adhes=293	entropy=1.1203
word=螃蟹	nums=18	adhes=7791	entropy=1.1549
word=尸体	nums=18	adhes=2139	entropy=0.5854
word=吹鼓手	nums=18	adhes=891	entropy=0.8539
word=鸽子	nums=17	adhes=273	entropy=1.0046
word=玲子	nums=17	adhes=273	entropy=1.1463
word=豆官	nums=17	adhes=1324	entropy=1.077
word=英雄	nums=16	adhes=8876	entropy=0.8229
word=高密	nums=16	adhes=286	entropy=0.2614
word=石桥	nums=15	adhes=775	entropy=0.7014
word=怎么	nums=15	adhes=2240	entropy=0.8951
word=时候	nums=15	adhes=1570	entropy=0.5081
word=脖子	nums=15	adhes=207	entropy=0.7817
word=用力	nums=15	adhes=864	entropy=0.9603
word=方六	nums=15	adhes=1022	entropy=1.0958
word=中年人	nums=15	adhes=622	entropy=1.0807
word=红布	nums=15	adhes=640	entropy=0.8951
word=监工	nums=15	adhes=4977	entropy=1.0405
word=露出	nums=14	adhes=388	entropy=0.7104
word=叫一声	nums=14	adhes=527	entropy=0.8105
word=阳光	nums=14	adhes=1120	entropy=1.0601
word=兄弟	nums=14	adhes=4545	entropy=1.0009
word=觉得	nums=14	adhes=562	entropy=0.8719
word=民伕	nums=14	adhes=5973	entropy=0.8105
word=绿色	nums=14	adhes=536	entropy=0.4897
word=几十	nums=14	adhes=331	entropy=0.7591
word=肚子	nums=14	adhes=225	entropy=1.0601
word=轿帘	nums=13	adhes=1434	entropy=0.8824
word=西边	nums=13	adhes=499	entropy=0.5582
word=狼狗	nums=13	adhes=2854	entropy=1.0213
word=河南	nums=13	adhes=479	entropy=0.7988
word=机枪	nums=13	adhes=410	entropy=0.975
word=太阳	nums=13	adhes=2141	entropy=0.9287
word=作坊	nums=13	adhes=8533	entropy=0.2984
word=十几	nums=13	adhes=308	entropy=0.6126
word=味道	nums=13	adhes=817	entropy=0.6126
word=孩子	nums=13	adhes=235	entropy=0.8824
word=不安	nums=12	adhes=474	entropy=0.9097
word=慢慢	nums=12	adhes=2557	entropy=0.8406
word=双手	nums=12	adhes=213	entropy=0.9788
word=村庄	nums=12	adhes=2429	entropy=0.6876
word=心中	nums=12	adhes=248	entropy=0.8283
word=刺刀	nums=12	adhes=2048	entropy=0.8283
word=雪白	nums=12	adhes=1629	entropy=0.1246
word=方向	nums=12	adhes=467	entropy=0.7213
word=之后	nums=12	adhes=557	entropy=1.029
word=闻到	nums=12	adhes=440	entropy=0.536
word=更加	nums=12	adhes=4065	entropy=1.029
word=单家	nums=12	adhes=493	entropy=0.8283
word=胳膊	nums=11	adhes=16291	entropy=0.7677
word=女人	nums=11	adhes=201	entropy=0.7811
word=抓住	nums=11	adhes=739	entropy=0.8772
word=笑容	nums=11	adhes=1947	entropy=0.2606
word=吐出	nums=11	adhes=246	entropy=0.8565
word=嘴唇	nums=11	adhes=2117	entropy=0.9319
word=湾子	nums=11	adhes=245	entropy=0.5936
word=曾经	nums=11	adhes=998	entropy=0.8565
word=铁锹	nums=11	adhes=1955	entropy=0.9113
word=最后	nums=11	adhes=511	entropy=0.8225
word=无数	nums=11	adhes=1235	entropy=0.8018
word=藤条	nums=10	adhes=2585	entropy=0.7967
word=中国	nums=10	adhes=478	entropy=0.1412
word=瓷盘	nums=10	adhes=5513	entropy=0.7365
word=传来	nums=10	adhes=242	entropy=0.7967
word=声音	nums=10	adhes=588	entropy=0.6505
word=扁郎	nums=10	adhes=8784	entropy=0.4084
word=满脸	nums=10	adhes=373	entropy=0.9398
word=非常	nums=10	adhes=6033	entropy=0.8796
word=突然	nums=10	adhes=2702	entropy=0.8796
word=男人	nums=10	adhes=282	entropy=0.7967
word=那些	nums=10	adhes=246	entropy=0.9398
word=鸭子	nums=10	adhes=241	entropy=0.4084
word=抬起	nums=10	adhes=227	entropy=0.8194
word=老太	nums=10	adhes=712	entropy=0.2923
word=强烈	nums=9	adhes=4042	entropy=0.7283
word=举起	nums=9	adhes=409	entropy=0.8873
word=卫兵	nums=9	adhes=2937	entropy=0.8205
word=头顶	nums=9	adhes=335	entropy=0.3686
word=不怕	nums=9	adhes=248	entropy=0.7536
word=腰带	nums=9	adhes=646	entropy=0.8278
word=单廷秀	nums=9	adhes=4977	entropy=0.8873
word=捂住	nums=9	adhes=1339	entropy=0.6614
word=弟兄	nums=9	adhes=2921	entropy=0.2969
word=乌黑	nums=9	adhes=1292	entropy=0.6198
word=两侧	nums=9	adhes=790	entropy=0.23
word=模样	nums=9	adhes=733	entropy=0.7283
word=点点	nums=9	adhes=553	entropy=0.1515
word=准备	nums=9	adhes=7680	entropy=0.5276
word=模糊	nums=9	adhes=4312	entropy=0.6198
word=转身	nums=9	adhes=391	entropy=0.6198
word=路西	nums=9	adhes=298	entropy=0.1515
word=多少	nums=9	adhes=2028	entropy=0.8205
word=苍蝇	nums=8	adhes=8533	entropy=0.7526
word=家伙	nums=8	adhes=623	entropy=0.4662
word=缰绳	nums=8	adhes=11946	entropy=0.6489
word=蓑衣	nums=8	adhes=4715	entropy=0.7242
word=十多	nums=8	adhes=300	entropy=0.391
word=早就	nums=8	adhes=565	entropy=0.8278
word=妻子	nums=8	adhes=289	entropy=0.5268
word=悄悄	nums=8	adhes=4960	entropy=0.6021
word=温暖	nums=8	adhes=15929	entropy=0.4662
word=碌碡	nums=8	adhes=22400	entropy=0.5268
word=官儿	nums=8	adhes=219	entropy=0.1636
word=啦啦	nums=8	adhes=597	entropy=0.5011
word=痛苦	nums=8	adhes=3733	entropy=0.8278
word=深处	nums=8	adhes=2767	entropy=0.1636
word=头颅	nums=8	adhes=562	entropy=0.6489
word=苍白	nums=8	adhes=620	entropy=0.8278
word=麻风	nums=8	adhes=918	entropy=0.3195
word=面孔	nums=8	adhes=896	entropy=0.6489
word=我们村	nums=8	adhes=534	entropy=0.5268
word=历史	nums=8	adhes=14933	entropy=0.2442
word=淤泥	nums=8	adhes=8960	entropy=0.4231
word=东西	nums=8	adhes=645	entropy=0.7242
word=白云	nums=8	adhes=814	entropy=0.7242
word=脚步声	nums=8	adhes=1001	entropy=0.3195
word=河北	nums=8	adhes=244	entropy=0.6489
word=畜生	nums=8	adhes=2450	entropy=0.7526
word=腮上	nums=8	adhes=236	entropy=0.8278
word=伸出	nums=8	adhes=264	entropy=0.7526
word=平原	nums=8	adhes=1690	entropy=0.4515
word=然后	nums=8	adhes=211	entropy=0.9031
word=二十	nums=8	adhes=758	entropy=0.7526
word=第三	nums=8	adhes=476	entropy=0.4662
word=新娘	nums=7	adhes=592	entropy=0.6406
word=连环	nums=7	adhes=4843	entropy=0.6731
word=木桥	nums=7	adhes=585	entropy=0.1781
word=目光	nums=7	adhes=896	entropy=0.6406
word=对准	nums=7	adhes=756	entropy=0.7591
word=风流	nums=7	adhes=297	entropy=0.7591
word=蛤蟆	nums=7	adhes=25600	entropy=0.5011
word=燃烧	nums=7	adhes=2297	entropy=0.5011
word=撒尿	nums=7	adhes=5807	entropy=0.5546
word=叫了一声	nums=7	adhes=875	entropy=0.5011
word=兴奋	nums=7	adhes=17422	entropy=0.5546
word=块大洋	nums=7	adhes=3733	entropy=0.4151
word=嗡嗡	nums=7	adhes=5575	entropy=0.6406
word=木桩	nums=7	adhes=2305	entropy=0.5011
word=腥甜	nums=7	adhes=11200	entropy=0.4686
word=伏击	nums=7	adhes=3513	entropy=0.5011
word=联系	nums=7	adhes=19600	entropy=0.3458
word=新鲜	nums=7	adhes=1663	entropy=0.3458
